codice_appartamento,tipologia_appartamento,heating,electricity_consumption,insulation,piano,production
Mi_Br_VB_002_2_03,Commerciale,0,0,0,2,0
Mi_Br_VB_002_3_01,Commerciale,0,0,0,3,0
Mi_Br_VB_002_3_02,Commerciale,0,0,0,3,0
Mi_Br_VB_002_4_01,Residenziale,179.1615307796485,341.86815056373507,14.323298296138214,4,0
Mi_Br_VB_002_4_02,Residenziale,190.20982304839916,374.4491423041624,12.549006248173061,4,0
Mi_Br_VB_002_4_03,Residenziale,121.53434380988521,189.3967653906081,36.35750960116903,4,0
Mi_Br_VB_002_condominio_00,Condominiale,0,0,0,0,"[53, 69, 80, 22, 76, 23, 38, 74, 22, 23, 77, 41, 94, 41, 32, 43, 80, 56, 11, 2, 28, 78, 20, 26, 96, 88, 48, 25, 73, 52, 85, 15, 90, 21, 4, 75, 54, 37, 8, 44, 67, 90, 50, 38, 31, 58, 46, 6, 74, 57, 67, 12, 39, 5, 7, 22, 17, 74, 98, 95, 10, 30, 6, 60, 67, 96, 94, 22, 65, 89, 24, 52, 97, 69, 1, 77, 43, 37, 88, 52, 4, 64, 24, 36, 9, 5, 17, 58, 61, 7, 22, 59, 71, 43, 58, 69, 16, 5, 50, 56, 87, 14, 88, 59, 67, 54, 33, 97, 35, 21, 98, 60, 69, 15, 3, 56, 21, 4, 68, 7, 94, 2, 14, 39, 15, 25, 89, 54, 23, 11, 54, 20, 94, 95, 27, 93, 90, 68, 83, 88, 6, 22, 72, 93, 71, 90, 38, 96, 56, 98, 70, 14, 77, 84, 22, 77, 100, 29, 14, 89, 54, 100, 2, 50, 55, 73, 89, 51, 92, 75, 26, 70, 15, 71, 52, 60, 6, 53, 72, 60, 55, 52, 63, 55, 63, 60, 32, 23, 19, 91, 95, 15, 17, 40, 44, 67, 48, 54, 6, 81, 7, 54, 82, 80, 57, 23, 70, 34, 44, 3, 93, 83, 52, 12, 96, 46, 55, 56, 24, 44, 39, 27, 80, 95, 61, 97, 68, 58, 61, 72, 3, 14, 4, 34, 48, 32, 14, 88, 75, 8, 24, 33, 52, 18, 38, 96, 36, 95, 17, 67, 27, 44, 98, 6, 15, 14, 29, 71, 37, 37, 73, 71, 93, 97, 29, 75, 52, 96, 22, 67, 80, 10, 97, 76, 69, 4, 90, 79, 50, 21, 67, 31, 67, 44, 62, 53, 42, 81, 85, 22, 9, 68, 2, 26, 22, 36, 61, 67, 28, 80, 26, 30, 60, 13, 28, 4, 15, 26, 94, 62, 15, 79, 54, 83, 51, 43, 97, 100, 72, 71, 57, 58, 13, 56, 45, 50, 30, 57, 72, 47, 18, 45, 24, 30, 97, 13, 16, 67, 54, 10, 47, 33, 32, 77, 8, 33, 55, 43, 70, 60, 86, 41, 39, 69, 76, 80, 88, 51, 18, 67, 41, 30, 31, 36, 3]"
Mi_Br_VB_003_1_01,Residenziale,147.0931966445958,387.4328225509627,30.53199101711946,1,0
Mi_Br_VB_003_1_02,Commerciale,0,0,0,1,0
Mi_Br_VB_003_1_03,Commerciale,0,0,0,1,0
Mi_Br_VB_003_2_01,Commerciale,0,0,0,2,0
Mi_Br_VB_003_2_02,Residenziale,98.28018472107948,339.793268721942,24.11462220297406,2,0
Mi_Br_VB_003_2_03,Commerciale,0,0,0,2,0
Mi_Br_VB_003_3_01,Commerciale,0,0,0,3,0
Mi_Br_VB_003_3_02,Residenziale,189.54700508219446,124.11464394042535,36.130015240770845,3,0
Mi_Br_VB_003_3_03,Residenziale,56.55629100208844,218.75869681943976,11.09049858109107,3,0
Mi_Br_VB_003_4_01,Commerciale,0,0,0,4,0
Mi_Br_VB_003_4_02,Commerciale,0,0,0,4,0
Mi_Br_VB_003_condominio_00,Condominiale,0,0,0,0,"[2, 8, 15, 17, 80, 51, 2, 99, 9, 40, 59, 86, 77, 57, 33, 90, 34, 59, 65, 72, 83, 79, 24, 38, 24, 90, 15, 92, 4, 96, 66, 37, 71, 37, 17, 100, 75, 69, 52, 27, 61, 81, 49, 45, 76, 48, 21, 56, 70, 13, 70, 38, 9, 91, 35, 80, 36, 7, 49, 38, 60, 84, 45, 17, 90, 42, 62, 43, 19, 55, 80, 50, 87, 17, 6, 9, 79, 55, 92, 73, 53, 79, 99, 99, 76, 8, 91, 80, 56, 10, 56, 37, 99, 25, 2, 44, 26, 46, 62, 34, 16, 65, 2, 64, 49, 93, 89, 8, 10, 83, 35, 65, 13, 98, 6, 86, 22, 93, 69, 11, 14, 35, 12, 97, 64, 22, 42, 8, 44, 38, 23, 49, 24, 42, 1, 5, 60, 82, 72, 36, 2, 17, 13, 94, 15, 14, 33, 91, 92, 7, 22, 17, 37, 81, 79, 78, 16, 42, 30, 21, 5, 66, 27, 78, 64, 97, 38, 76, 27, 34, 15, 25, 33, 3, 67, 47, 47, 76, 29, 4, 71, 23, 40, 50, 40, 94, 51, 74, 7, 26, 80, 92, 8, 9, 3, 74, 81, 42, 3, 12, 49, 79, 90, 27, 58, 23, 2, 57, 8, 96, 93, 73, 6, 94, 65, 66, 2, 97, 37, 78, 58, 61, 67, 57, 66, 52, 42, 89, 18, 70, 59, 94, 93, 82, 69, 29, 13, 89, 83, 19, 72, 32, 31, 61, 90, 73, 39, 20, 95, 58, 16, 30, 91, 22, 100, 39, 58, 8, 97, 75, 26, 99, 84, 77, 95, 20, 46, 89, 96, 97, 54, 75, 47, 91, 29, 1, 100, 2, 43, 4, 39, 92, 4, 89, 79, 26, 4, 61, 51, 34, 24, 59, 99, 81, 1, 59, 35, 48, 13, 75, 59, 100, 38, 18, 63, 17, 17, 40, 83, 55, 20, 13, 61, 20, 78, 88, 42, 91, 8, 47, 13, 69, 36, 9, 23, 80, 32, 52, 25, 100, 100, 41, 74, 22, 4, 96, 59, 79, 61, 90, 51, 68, 100, 78, 41, 88, 25, 56, 55, 63, 75, 95, 33, 22, 25, 99, 96, 42, 20, 24, 14, 7, 49, 84, 52]"
Mi_Br_VB_004_1_01,Residenziale,181.37614168776904,288.7094329731289,16.071808700163672,1,0
Mi_Br_VB_004_1_02,Residenziale,58.28706754185133,204.2327494837794,37.9997855497586,1,0
Mi_Br_VB_004_1_03,Commerciale,0,0,0,1,0
Mi_Br_VB_004_2_01,Commerciale,0,0,0,2,0
Mi_Br_VB_004_2_02,Commerciale,0,0,0,2,0
Mi_Br_VB_004_2_03,Residenziale,155.37931488287535,308.316745658629,29.692675720475794,2,0
Mi_Br_VB_004_3_01,Residenziale,129.31572294682405,282.29287675915754,27.00180537289637,3,0
Mi_Br_VB_004_3_02,Commerciale,0,0,0,3,0
Mi_Br_VB_004_4_01,Residenziale,108.2395893068009,185.89287572931318,45.14449176821339,4,0
Mi_Br_VB_004_4_02,Commerciale,0,0,0,4,0
Mi_Br_VB_004_condominio_00,Condominiale,0,0,0,0,"[35, 60, 49, 36, 44, 78, 36, 1, 51, 86, 69, 30, 77, 34, 75, 69, 96, 90, 8, 61, 36, 8, 24, 17, 59, 98, 99, 95, 49, 3, 17, 30, 63, 22, 21, 67, 53, 79, 19, 72, 57, 1, 69, 7, 3, 93, 50, 66, 85, 35, 91, 43, 64, 84, 87, 65, 19, 17, 66, 82, 50, 15, 54, 1, 77, 12, 41, 72, 55, 69, 23, 28, 65, 11, 82, 16, 33, 3, 91, 68, 16, 32, 12, 97, 48, 95, 98, 18, 98, 94, 49, 58, 28, 76, 97, 63, 86, 37, 32, 51, 13, 96, 35, 88, 79, 1, 63, 13, 32, 5, 58, 75, 11, 3, 84, 14, 79, 87, 52, 46, 66, 23, 82, 9, 32, 65, 24, 98, 17, 69, 96, 96, 88, 80, 17, 21, 89, 53, 10, 40, 44, 59, 54, 68, 69, 38, 53, 93, 34, 39, 28, 10, 80, 56, 23, 77, 89, 43, 77, 78, 51, 90, 65, 2, 49, 32, 94, 2, 1, 97, 53, 61, 61, 24, 26, 16, 23, 53, 15, 78, 60, 10, 60, 98, 86, 64, 71, 33, 85, 5, 8, 38, 54, 41, 91, 17, 78, 29, 6, 80, 42, 46, 1, 58, 61, 42, 88, 61, 90, 58, 27, 8, 28, 78, 36, 81, 53, 64, 27, 37, 5, 97, 61, 73, 35, 79, 21, 63, 100, 51, 73, 70, 35, 19, 87, 47, 17, 78, 38, 93, 68, 23, 53, 14, 34, 80, 58, 50, 99, 48, 94, 28, 29, 62, 73, 34, 52, 75, 47, 65, 93, 27, 25, 67, 30, 32, 38, 3, 12, 96, 25, 51, 99, 91, 97, 3, 91, 84, 78, 36, 17, 6, 92, 43, 34, 31, 93, 34, 97, 66, 38, 39, 1, 50, 2, 87, 58, 91, 7, 69, 29, 55, 66, 68, 9, 83, 82, 99, 74, 83, 46, 5, 25, 30, 100, 17, 36, 19, 39, 66, 82, 36, 3, 68, 54, 22, 24, 49, 72, 76, 90, 3, 26, 32, 50, 20, 70, 28, 64, 88, 78, 86, 7, 18, 37, 93, 11, 76, 70, 2, 35, 64, 48, 24, 2, 72, 27, 33, 52, 77, 71, 9, 67, 4, 10]"
Mi_Br_VB_005_1_01,Residenziale,170.2296633945598,145.35711978151232,36.44583919546047,1,0
Mi_Br_VB_005_1_02,Commerciale,0,0,0,1,0
Mi_Br_VB_005_2_01,Commerciale,0,0,0,2,0
Mi_Br_VB_005_2_02,Commerciale,0,0,0,2,0
Mi_Br_VB_005_3_01,Residenziale,119.69822503922755,255.17768447635046,27.474057376130215,3,0
Mi_Br_VB_005_3_02,Residenziale,63.1407056857702,296.12897462565786,16.089105907098347,3,0
Mi_Br_VB_005_4_01,Commerciale,0,0,0,4,0
Mi_Br_VB_005_4_02,Commerciale,0,0,0,4,0
Mi_Br_VB_005_4_03,Residenziale,128.0987450179719,187.23860252248937,16.442454252514707,4,0
Mi_Br_VB_005_condominio_00,Condominiale,0,0,0,0,"[92, 7, 89, 88, 5, 85, 86, 83, 69, 31, 92, 63, 56, 42, 61, 65, 87, 83, 21, 67, 32, 87, 4, 97, 91, 5, 65, 68, 18, 65, 99, 65, 74, 16, 74, 55, 87, 87, 23, 81, 21, 2, 52, 24, 2, 47, 24, 83, 13, 75, 63, 81, 95, 71, 51, 77, 70, 56, 85, 24, 96, 64, 95, 17, 79, 6, 56, 75, 15, 100, 29, 6, 21, 32, 98, 88, 1, 59, 16, 96, 65, 89, 36, 27, 70, 92, 25, 11, 16, 81, 44, 74, 10, 99, 9, 63, 94, 49, 79, 57, 79, 99, 95, 89, 95, 96, 57, 39, 18, 62, 59, 75, 57, 64, 55, 59, 94, 99, 92, 65, 35, 76, 1, 29, 75, 87, 57, 74, 66, 91, 87, 77, 13, 76, 46, 43, 10, 48, 87, 98, 23, 46, 20, 45, 2, 66, 94, 67, 53, 74, 73, 15, 28, 8, 72, 78, 71, 76, 53, 9, 100, 16, 52, 49, 84, 25, 92, 12, 56, 70, 55, 24, 41, 19, 80, 90, 56, 71, 95, 69, 31, 52, 71, 20, 85, 27, 55, 52, 53, 16, 3, 83, 98, 38, 23, 89, 26, 11, 83, 2, 53, 66, 73, 78, 91, 88, 82, 55, 11, 46, 39, 59, 86, 62, 60, 71, 50, 8, 68, 39, 96, 52, 14, 89, 44, 94, 98, 13, 69, 57, 74, 77, 40, 62, 91, 46, 47, 49, 53, 70, 53, 56, 88, 37, 4, 9, 73, 95, 7, 76, 92, 1, 41, 88, 26, 60, 72, 53, 23, 62, 18, 43, 44, 6, 55, 84, 59, 35, 81, 55, 64, 63, 61, 86, 57, 21, 19, 27, 80, 30, 99, 24, 38, 51, 46, 76, 7, 66, 80, 6, 73, 59, 89, 78, 68, 54, 78, 30, 11, 44, 5, 73, 15, 57, 18, 74, 40, 89, 78, 36, 33, 71, 83, 81, 34, 29, 29, 29, 36, 78, 64, 58, 79, 83, 59, 39, 54, 7, 96, 47, 21, 80, 1, 31, 25, 24, 62, 3, 55, 36, 82, 17, 29, 89, 91, 66, 79, 49, 72, 14, 24, 26, 86, 9, 98, 6, 98, 92, 32, 42, 46, 3, 68, 6, 94]"
Mi_Br_VT_001_1_01,Commerciale,0,0,0,1,0
Mi_Br_VT_001_1_02,Commerciale,0,0,0,1,0
Mi_Br_VT_001_1_03,Residenziale,53.61333810286311,265.2085848080177,49.67757211960803,1,0
Mi_Br_VT_001_2_01,Residenziale,132.01271130840286,331.88129695057603,29.59058419833439,2,0
Mi_Br_VT_001_2_02,Residenziale,156.351390658752,276.15391815452915,32.72630241969038,2,0
Mi_Br_VT_001_2_03,Commerciale,0,0,0,2,0
Mi_Br_VT_001_3_01,Commerciale,0,0,0,3,0
Mi_Br_VT_001_3_02,Commerciale,0,0,0,3,0
Mi_Br_VT_001_condominio_00,Condominiale,0,0,0,0,"[50, 82, 49, 90, 23, 38, 41, 37, 92, 16, 75, 82, 81, 97, 15, 73, 67, 38, 97, 12, 29, 70, 2, 80, 29, 26, 88, 91, 42, 85, 32, 83, 13, 82, 20, 69, 29, 18, 27, 96, 81, 25, 52, 41, 75, 76, 6, 22, 92, 32, 63, 77, 7, 3, 25, 62, 100, 42, 4, 70, 100, 57, 94, 62, 27, 87, 29, 8, 21, 28, 28, 94, 27, 37, 58, 52, 29, 30, 15, 100, 14, 10, 15, 8, 50, 67, 65, 9, 17, 27, 82, 70, 82, 6, 99, 59, 21, 39, 18, 76, 80, 47, 73, 12, 27, 35, 81, 13, 27, 47, 99, 78, 35, 64, 69, 53, 5, 8, 42, 100, 2, 33, 89, 35, 31, 76, 7, 42, 91, 3, 57, 2, 73, 12, 76, 37, 88, 75, 64, 75, 57, 46, 1, 48, 80, 31, 37, 49, 76, 95, 13, 74, 49, 16, 96, 18, 24, 93, 50, 64, 5, 9, 82, 81, 4, 94, 92, 25, 53, 79, 84, 7, 47, 14, 23, 17, 32, 26, 85, 40, 48, 34, 43, 83, 61, 38, 96, 84, 10, 96, 51, 13, 36, 31, 20, 32, 5, 35, 92, 72, 49, 22, 63, 29, 76, 3, 36, 93, 38, 11, 49, 30, 32, 36, 93, 99, 26, 65, 2, 97, 13, 78, 24, 87, 90, 44, 49, 93, 77, 98, 1, 45, 56, 59, 49, 77, 43, 49, 95, 76, 94, 24, 50, 74, 9, 45, 65, 63, 83, 82, 84, 84, 55, 69, 5, 85, 98, 55, 17, 43, 63, 41, 27, 3, 68, 95, 80, 22, 73, 2, 75, 15, 98, 1, 13, 27, 25, 34, 90, 29, 43, 78, 68, 97, 49, 71, 98, 8, 61, 78, 10, 50, 64, 33, 52, 26, 24, 50, 7, 28, 61, 95, 59, 1, 30, 34, 88, 41, 54, 66, 31, 12, 7, 27, 38, 68, 27, 97, 5, 54, 36, 45, 83, 90, 10, 4, 3, 79, 65, 82, 40, 36, 61, 3, 3, 29, 49, 7, 77, 82, 70, 27, 8, 63, 93, 78, 12, 90, 66, 95, 31, 35, 39, 81, 70, 19, 63, 27, 42, 57, 59, 24, 15, 13, 30]"
Mi_Br_VT_002_1_01,Commerciale,0,0,0,1,0
Mi_Br_VT_002_1_02,Commerciale,0,0,0,1,0
Mi_Br_VT_002_1_03,Residenziale,88.78567157973998,247.5985660654992,45.85022115298402,1,0
Mi_Br_VT_002_2_01,Residenziale,155.27614142834818,353.8603027188321,30.728901724758995,2,0
Mi_Br_VT_002_2_02,Residenziale,142.22524833595335,199.6399181315811,17.35434368333764,2,0
Mi_Br_VT_002_3_01,Residenziale,80.85908650965408,187.73504310790776,45.63247302759266,3,0
Mi_Br_VT_002_3_02,Residenziale,187.601124520142,204.58022718687278,49.63560417099592,3,0
Mi_Br_VT_002_3_03,Commerciale,0,0,0,3,0
Mi_Br_VT_002_4_01,Residenziale,116.78887407157738,289.8665108316992,32.89225883184333,4,0
Mi_Br_VT_002_4_02,Commerciale,0,0,0,4,0
Mi_Br_VT_002_4_03,Commerciale,0,0,0,4,0
Mi_Br_VT_002_condominio_00,Condominiale,0,0,0,0,"[87, 16, 7, 77, 73, 83, 6, 83, 76, 3, 83, 90, 89, 52, 98, 29, 27, 68, 18, 38, 29, 22, 83, 45, 1, 74, 41, 66, 63, 41, 31, 36, 15, 93, 78, 6, 89, 8, 86, 7, 20, 63, 70, 86, 82, 76, 24, 56, 16, 83, 18, 59, 67, 75, 58, 47, 22, 63, 91, 32, 18, 15, 84, 89, 91, 63, 57, 77, 72, 42, 20, 11, 76, 75, 47, 21, 48, 94, 36, 87, 21, 71, 31, 79, 28, 54, 6, 35, 88, 96, 5, 9, 2, 22, 53, 93, 42, 40, 9, 50, 89, 61, 29, 17, 76, 28, 55, 71, 65, 42, 4, 44, 88, 71, 52, 8, 57, 84, 65, 3, 91, 32, 14, 77, 51, 46, 91, 32, 73, 40, 42, 99, 43, 41, 51, 84, 53, 26, 93, 85, 50, 97, 4, 15, 33, 21, 3, 26, 29, 13, 4, 13, 31, 48, 85, 79, 73, 15, 70, 66, 27, 44, 2, 40, 54, 37, 9, 78, 86, 100, 94, 78, 17, 63, 58, 34, 7, 8, 80, 13, 65, 35, 29, 23, 70, 95, 38, 94, 49, 14, 47, 98, 49, 52, 90, 46, 27, 42, 45, 9, 91, 91, 53, 14, 31, 59, 22, 29, 29, 22, 12, 60, 46, 33, 23, 70, 42, 48, 85, 23, 79, 37, 10, 21, 11, 95, 35, 49, 31, 97, 10, 13, 77, 33, 33, 22, 44, 60, 50, 88, 32, 52, 14, 26, 24, 75, 44, 97, 72, 82, 2, 80, 45, 67, 28, 3, 13, 25, 48, 50, 53, 84, 79, 87, 40, 66, 57, 22, 67, 89, 35, 24, 63, 51, 33, 60, 23, 85, 44, 15, 52, 71, 63, 35, 16, 56, 37, 99, 96, 26, 34, 10, 93, 11, 73, 69, 26, 20, 67, 62, 76, 70, 35, 79, 77, 31, 94, 5, 89, 77, 17, 51, 25, 45, 33, 64, 89, 63, 41, 64, 6, 16, 63, 79, 68, 97, 21, 45, 97, 29, 42, 32, 46, 94, 47, 91, 94, 28, 65, 91, 86, 36, 69, 66, 10, 94, 30, 35, 2, 12, 40, 9, 48, 26, 76, 95, 19, 56, 80, 62, 52, 89, 67, 23, 76]"
Mi_Br_VT_003_1_01,Commerciale,0,0,0,1,0
Mi_Br_VT_003_1_02,Residenziale,82.819685553845,321.13059283724203,24.1172589683394,1,0
Mi_Br_VT_003_1_03,Residenziale,78.34214415568594,331.00600014714615,39.30594543418889,1,0
Mi_Br_VT_003_2_01,Commerciale,0,0,0,2,0
Mi_Br_VT_003_2_02,Commerciale,0,0,0,2,0
Mi_Br_VT_003_3_01,Residenziale,68.43532939603861,266.4269593638695,48.548111104072795,3,0
Mi_Br_VT_003_3_02,Commerciale,0,0,0,3,0
Mi_Br_VT_003_3_03,Commerciale,0,0,0,3,0
Mi_Br_VT_003_4_01,Residenziale,56.29482297984169,218.52806769166352,17.03624996774375,4,0
Mi_Br_VT_003_4_02,Commerciale,0,0,0,4,0
Mi_Br_VT_003_4_03,Residenziale,162.24090716047903,118.38175236933247,46.94097108418622,4,0
Mi_Br_VT_003_5_01,Residenziale,165.30033464214745,179.13965653830604,26.82999290385091,5,0
Mi_Br_VT_003_5_02,Commerciale,0,0,0,5,0
Mi_Br_VT_003_condominio_00,Condominiale,0,0,0,0,"[74, 16, 34, 11, 30, 29, 67, 15, 10, 23, 55, 93, 99, 10, 86, 96, 18, 28, 90, 31, 21, 83, 94, 78, 58, 60, 42, 47, 61, 29, 6, 80, 26, 95, 1, 46, 68, 99, 64, 84, 75, 74, 95, 56, 8, 69, 43, 36, 99, 65, 96, 74, 58, 94, 69, 74, 8, 44, 27, 58, 76, 2, 97, 29, 55, 57, 72, 18, 84, 18, 59, 74, 84, 56, 46, 43, 76, 12, 22, 99, 28, 95, 89, 68, 20, 36, 64, 14, 30, 78, 85, 97, 29, 23, 3, 85, 38, 92, 86, 99, 9, 71, 89, 52, 57, 69, 31, 21, 38, 76, 30, 75, 26, 49, 51, 51, 96, 48, 99, 86, 82, 10, 63, 13, 55, 12, 25, 46, 88, 61, 38, 62, 62, 71, 7, 86, 49, 67, 62, 20, 26, 81, 45, 9, 18, 49, 34, 73, 19, 8, 13, 79, 34, 40, 82, 98, 4, 35, 67, 31, 61, 17, 9, 9, 5, 51, 75, 95, 25, 67, 71, 8, 87, 96, 50, 93, 95, 56, 66, 8, 26, 72, 81, 1, 27, 62, 52, 36, 61, 37, 4, 55, 87, 98, 39, 22, 51, 69, 64, 45, 42, 19, 83, 42, 20, 35, 42, 77, 59, 88, 10, 57, 62, 36, 82, 24, 42, 61, 96, 21, 5, 74, 64, 97, 24, 91, 5, 28, 32, 16, 86, 18, 1, 67, 37, 6, 27, 48, 8, 28, 23, 22, 47, 25, 58, 19, 98, 94, 99, 14, 56, 15, 66, 56, 94, 20, 96, 79, 91, 32, 19, 88, 14, 58, 84, 89, 21, 64, 5, 10, 16, 57, 32, 27, 92, 70, 23, 69, 56, 15, 33, 85, 61, 80, 23, 34, 56, 44, 32, 80, 62, 2, 59, 48, 49, 12, 54, 73, 8, 50, 70, 99, 42, 48, 89, 86, 29, 56, 19, 26, 81, 53, 79, 55, 92, 64, 37, 14, 30, 19, 12, 94, 58, 8, 79, 55, 48, 53, 80, 47, 2, 75, 5, 100, 7, 76, 48, 74, 62, 84, 76, 50, 33, 27, 8, 40, 12, 93, 70, 7, 27, 56, 35, 85, 99, 35, 29, 20, 89, 6, 19, 68, 28, 64, 14]"
Mi_Br_VT_004_1_01,Residenziale,165.65486103989002,367.59151821368187,28.092072856691402,1,0
Mi_Br_VT_004_1_02,Commerciale,0,0,0,1,0
Mi_Br_VT_004_1_03,Commerciale,0,0,0,1,0
Mi_Br_VT_004_2_01,Residenziale,89.91198105462033,376.3406229682741,32.874556304978796,2,0
Mi_Br_VT_004_2_02,Commerciale,0,0,0,2,0
Mi_Br_VT_004_3_01,Commerciale,0,0,0,3,0
Mi_Br_VT_004_3_02,Residenziale,127.64740738971602,155.5383961994029,37.765365506612106,3,0
Mi_Br_VT_004_4_01,Commerciale,0,0,0,4,0
Mi_Br_VT_004_4_02,Residenziale,128.45810335425773,180.72651029627724,38.352251060151886,4,0
Mi_Br_VT_004_5_01,Residenziale,70.76276542557821,320.1359323215164,26.346571927931763,5,0
Mi_Br_VT_004_5_02,Residenziale,120.61867419404959,125.3557963994794,26.49720757687248,5,0
Mi_Br_VT_004_5_03,Residenziale,106.79428819919345,121.11107896803836,20.18422010619478,5,0
Mi_Br_VT_004_condominio_00,Condominiale,0,0,0,0,"[61, 69, 52, 27, 66, 99, 16, 7, 3, 16, 46, 39, 84, 87, 97, 65, 4, 20, 37, 43, 26, 1, 3, 13, 7, 6, 3, 39, 83, 26, 6, 54, 88, 23, 95, 17, 19, 17, 34, 93, 58, 48, 40, 96, 32, 47, 36, 37, 41, 20, 97, 88, 2, 63, 42, 46, 39, 19, 65, 83, 37, 54, 81, 34, 70, 2, 8, 28, 62, 46, 2, 80, 54, 11, 93, 68, 26, 30, 58, 13, 79, 98, 79, 6, 91, 66, 5, 59, 67, 24, 90, 87, 29, 90, 99, 33, 64, 62, 87, 31, 69, 70, 77, 63, 63, 35, 5, 60, 27, 100, 58, 42, 53, 39, 70, 22, 42, 18, 96, 61, 6, 12, 45, 51, 3, 14, 59, 21, 91, 57, 94, 19, 64, 79, 14, 80, 37, 41, 55, 1, 74, 10, 89, 24, 51, 52, 6, 47, 98, 74, 47, 70, 31, 16, 78, 57, 68, 77, 13, 49, 11, 40, 59, 30, 84, 98, 27, 51, 89, 12, 43, 9, 72, 50, 76, 20, 32, 35, 35, 24, 43, 98, 63, 60, 97, 1, 93, 50, 88, 59, 98, 32, 11, 80, 89, 18, 4, 78, 29, 30, 40, 63, 23, 99, 83, 9, 97, 62, 95, 15, 4, 1, 35, 15, 24, 8, 54, 90, 32, 67, 37, 95, 78, 10, 79, 15, 87, 14, 44, 87, 35, 38, 69, 14, 72, 37, 52, 26, 74, 24, 48, 68, 17, 56, 17, 70, 72, 38, 35, 91, 53, 41, 73, 81, 72, 67, 60, 65, 81, 35, 31, 99, 93, 15, 46, 32, 61, 94, 6, 7, 20, 94, 12, 34, 80, 32, 47, 95, 73, 86, 86, 40, 36, 25, 12, 71, 46, 76, 16, 65, 66, 100, 20, 61, 40, 2, 47, 47, 34, 17, 77, 94, 33, 4, 62, 66, 43, 49, 47, 58, 37, 30, 71, 29, 72, 44, 39, 92, 72, 77, 55, 32, 61, 49, 17, 21, 41, 85, 77, 63, 66, 19, 10, 75, 73, 66, 27, 51, 7, 5, 53, 36, 77, 19, 14, 59, 43, 83, 51, 80, 99, 11, 75, 94, 23, 23, 21, 8, 38, 91, 32, 64, 4, 18, 100]"
Mi_Br_VT_005_1_01,Residenziale,81.1202721256546,243.69250299451636,10.591421549276593,1,0
